,iv_surface,skew,slope,log_returns
0,"[[0.36951171 0.19727521 0.15823638 0.20775495 0.27000009]
 [0.42718293 0.27855376 0.18158672 0.22470823 0.29027361]
 [0.3434512  0.27793658 0.15650875        nan        nan]
 [0.40018405 0.27976497 0.16158549        nan 0.30328892]
 [0.36785049 0.25113486 0.17994708        nan        nan]]",,-0.0016396445482431687,0.0
1,"[[0.82340126 0.38610327 0.11802145 0.01192961 0.03125828]
 [       nan 0.41303382 0.12381412        nan 0.04835696]
 [0.69978078 0.37461033 0.18364529 0.02713452 0.05314368]
 [0.7132343  0.44418731 0.01166977 0.03015462 0.05547795]
 [0.8077849  0.58825858 0.06711818 0.04128282 0.05738429]]",0.19534657808557654,-0.05669594820331998,0.0031323491277131664
2,"[[0.86336556 0.41770516 0.15573178 0.11519511 0.19884542]
 [       nan 0.44155101 0.00523211 0.07983081 0.18105715]
 [0.7126638  0.56066641 0.03519959        nan 0.2172496 ]
 [0.81771235 0.53841798 0.17640709 0.10869785 0.17844866]
 [0.87427507 0.45263551 0.20658326        nan 0.17230946]]",0.0384529694101485,0.2013511531302022,0.0001992884310021296
3,"[[0.68581521 0.2970269  0.01186862 0.04214527 0.07087517]
 [0.71563624 0.33295298 0.13031883 0.02557089 0.07393463]
 [0.75578635 0.40997187        nan 0.05764553 0.08598316]
 [0.76106523 0.51078536 0.06705577 0.03895653 0.08071612]
 [0.75387719 0.50029032 0.1267161  0.04405676 0.07861806]]",0.1688586474847299,-0.003602729985604153,0.005582207406955783
4,"[[0.69376343 0.33389704 0.09660069 0.08798655 0.17263622]
 [0.73138645 0.41027855 0.01636779        nan 0.15531893]
 [0.8266851  0.45538977 0.00813287 0.06565416 0.15901799]
 [       nan 0.44601752 0.23352245        nan 0.15066618]
 [0.80346625 0.44833922 0.08686701 0.09600386        nan]]",,0.07049922423897416,-0.001995570978889341
5,"[[0.73658629 0.46959666 0.010422   0.02613147 0.07497076]
 [0.77493574 0.39997057        nan 0.04900495 0.10470536]
 [0.632926   0.28676918 0.1725335  0.04542648 0.10120266]
 [0.78137868 0.43368702 0.08410714 0.07016395 0.09733762]
 [0.78569957 0.47698857 0.11293566 0.06618607 0.08057841]]",0.09765439642344567,,0.0008022885636964983
6,"[[0.72196516 0.58610821 0.00416933        nan 0.09958101]
 [0.7419636  0.35629845 0.16258789 0.05747124 0.08818919]
 [0.81145065 0.38880118 0.23986602 0.05485328        nan]
 [0.80320608 0.46346078 0.         0.03352988 0.13298361]
 [0.93043871 0.43799779 0.17953237        nan 0.12788163]]",0.2149654483756323,0.01694448133505133,-0.0013097037225465538
7,"[[0.8348926  0.5451084  0.00797218 0.06728667        nan]
 [0.74486917 0.4643316  0.22714255 0.12019014 0.15252704]
 [0.87635004 0.4795188         nan 0.06826089 0.22054967]
 [0.82223077 0.44381064 0.13227776        nan 0.17002955]
 [0.65029537 0.43808136        nan 0.09862013 0.21198984]]",,,-0.002531596373590708
8,"[[0.9304002  0.53913189 0.29063484 0.0170085  0.08045749]
 [       nan 0.55002181 0.26243344        nan 0.06048416]
 [0.97996946 0.5039663  0.2523076  0.02157181        nan]
 [0.85236658 0.64947868 0.10777947 0.04992207 0.08472743]
 [0.96717098 0.46421184 0.12312632 0.04985412 0.10008535]]",0.1919988364654392,-0.13930712782004936,0.0010679704508931357
9,"[[0.43031332 0.28599816 0.16410388 0.28109716 0.34109708]
 [0.48117622 0.28972149 0.1645631  0.20769435 0.33251143]
 [0.44380588 0.24027226        nan 0.27530642 0.3418737 ]
 [0.41103047 0.32142474 0.18379166 0.23178699 0.3459245 ]
 [0.4293346  0.27579872 0.17024815 0.25942191 0.33593664]]",-0.13897278305790922,0.0056850463374471805,-0.0024892223551828017
10,"[[0.41922578 0.25992005 0.17129408 0.18890606 0.2785865 ]
 [0.37858023 0.26694421 0.16791645 0.22321305 0.29264475]
 [0.36634073 0.23665691 0.17520278        nan 0.30335635]
 [0.40640892 0.24928539 0.16477396 0.23953175 0.29012004]
 [0.35854242 0.25900147 0.15071021        nan        nan]]",-0.15989714579129155,-0.017206236650275375,0.0027013740366119417
11,"[[1.02802324 0.49821392 0.22255916 0.03843264 0.13731737]
 [0.92161435 0.63632475 0.19843553 0.04390594        nan]
 [0.96193362 0.75441152 0.19271373 0.07242841 0.1535402 ]
 [0.98884358 0.57373796 0.17630438        nan        nan]
 [0.88341744 0.4979585  0.32062127 0.08594757        nan]]",,0.1221857445762625,0.0007598023605793192
